id;code;date;details;status;payment_method;payment_date;payment_amount;product_order_id
1;Texas Concrete;2020-12-28T02:50:44;capability Loop Unbranded Frozen Towels;CANCELLED;CREDIT_CARD;2020-12-27T14:43:26;75071;94375
2;program Unbranded;2020-12-28T02:59:44;Marketing Consultant Berkshire;ISSUED;CASH_ON_DELIVERY;2020-12-27T19:24:15;8068;31806
3;Indian Rupee Ngultrum;2020-12-28T04:57:55;program PNG parse;ISSUED;CASH_ON_DELIVERY;2020-12-28T02:24:16;92121;74564
4;transmitting EXE parse;2020-12-28T01:21:45;open architecture;PAID;PAYPAL;2020-12-28T08:25:49;99574;33894
5;attitude-oriented;2020-12-27T19:52:42;Integration structure;CANCELLED;PAYPAL;2020-12-27T22:00:12;72584;98923
6;SDD auxiliary Utah;2020-12-27T22:57:10;Intelligent Frozen Salad;CANCELLED;PAYPAL;2020-12-27T14:19:21;7073;6807
7;Customer;2020-12-28T09:24:14;Cotton Auto Loan Account;ISSUED;CASH_ON_DELIVERY;2020-12-27T13:40:46;32780;10756
8;Arizona Awesome Fresh Soap system;2020-12-27T19:37:55;Handcrafted Steel Ball CSS;CANCELLED;CREDIT_CARD;2020-12-27T19:26:58;50263;19746
9;applications Generic;2020-12-27T17:52:41;Assurance;ISSUED;CASH_ON_DELIVERY;2020-12-28T08:30:20;36970;88317
10;functionalities bifurcated;2020-12-28T03:38:05;Investment Account;PAID;CREDIT_CARD;2020-12-28T03:38:05;94911;93817
